"Analysis of the impact of high-speed railroad service on air transport demand";"2741168611238703427";"2006"
"Roads, land use, and deforestation: a spatial model applied to Belize";"10120413830864362824";"1996"
"Spatiotemporal urbanization processes in the megacity of Mumbai, India: A Markov chains-cellular automata urban growth model";"5526883927689977429";"2013"
"Analyse économique des configurations urbaines et de leur étalement";"4261196624544641724";"2000"
"Modeling the spatial dynamics of regional land use: the CLUE-S model";"11472243155749927644";"2002"
"Modelling the joint access mode and railway station choice";"7836108439721214640";"2009"
"Why do the poor live in cities? The role of public transportation";"4592975781722496335";"2008"
" Handbook of regional and urban economics: cities and geography";"12440628822469350927";"2004"
"Modeling urban expansion scenarios by coupling cellular automata model and system dynamic model in Beijing, China";"5280571749216175921";"2006"
" Ecogenèse territoriale et territorialité";"17145424911259202104";"1986"
"Alternative transportation modes in an urban land use model: a general equilibrium approach";"3165364121707577821";"1979"
"The land use and transit connection in Toronto: Some lessons for Australian cities";"2456603338811174337";"1991"
"Can the high speed rail reinforce tourism attractiveness? The case of the high speed rail between Perpignan (France) and Barcelona (Spain)";"12567231728166421187";"2009"
"The effects of urban spatial structure on travel demand in the United States";"8979905650138042379";"2005"
"Multiple criteria decision-making techniques and their applications–a review of the literature from 2000 to 2014";"1709037592918865759";"2015"
"Do plans matter? The effects of light rail plans on land values in station areas";"5893033290987527886";"2001"
"Reducing energy consumption through trajectory optimization for a metro network";"9996518109486866181";"1975"
"An integrated model of facility location and transportation network design";"13527409584934730161";"2001"
"Accessibility evaluation of land-use and transport strategies: review and research directions";"14903997275377177864";"2004"
"Current operational urban land‐use–transport modelling frameworks: A review";"17564692245329390408";"2005"
"Urban form and travel behaviour: micro-level household attributes and residential context";"6816438350432176732";"2002"
"A TOD planning model to review the regulation of allowable development densities around subway stations";"17412736314612590072";"2006"
"A study of on integrated intercity travel demand model";"9428224722855847242";"2005"
"Evolution of the transit-oriented development model for low-density cities: a case study of Perth's new railway corridor";"18352831680500291924";"2008"
"Transport networks and spatial choices: A European perspective";"5327509358687884035";"2007"
"Network design and transportation planning: Models and algorithms";"13527193772942453318";"1984"
"Transportation and Land Use";"8660477253315319284";"2007"
"Light rail proximity: Benefit or detriment in the case of Santa Clara County, California?";"6642187910472493264";"2001"
" A land-use/transport interaction model for Austria";"12023503774881923572";"2009"
"A coverage model for improving public transit system accessibility and expanding access";"7714873155324269506";"2003"
"On the development of raem: The dutch spatial general equilibrium model and it's first application to a new railway link";"14419148078104479576";"2001"
